trail_name,trail_url,region,length,elevation_gain,highest_point,rating,comment_date,comment_author,comment_text,label
Heliotrope Ridge,https://www.wta.org/go-hiking/hikes/heliotrope-ridge,Mt. Baker Area > Glacier,"6.0 miles, roundtrip","2,000 feet","6,100 feet",,"Heliotrope Ridge — January 18, 2026",TrailConditionsTed,Full snowpack from TH onwards. This trail is NOT currently hikeable without mountaineering gear. The approach was post-hole hell. We gave up at the first major viewpoint and descended safely. Check back in July.,not_hikeable
Goat Lake,https://www.wta.org/go-hiking/hikes/goat-lake,Mountain Loop Highway > Darrington,"10.4 miles, roundtrip","1,300 feet","3,160 feet",5 out of 5 stars,"Goat Lake — September 3, 2024",MossyBoots42,Just got back from a wonderful day out here. Trail is completely clear of snow. Wildflowers are starting to come up near the upper meadows. Bring plenty of water as there are limited reliable sources right now.,hikeable
Goat Lake,https://www.wta.org/go-hiking/hikes/goat-lake,Mountain Loop Highway > Darrington,"10.4 miles, roundtrip","1,300 feet","3,160 feet",3 out of 5 stars,"Goat Lake — September 17, 2025",HikingWithHuskies,Road to TH had some ice this morning but nothing that required chains. Trail is clear for the first 2 miles then snow picks up. Microspikes were helpful on the steeper portions. Plan for extra time if hiking in snow.,modest_conditions
Goat Lake,https://www.wta.org/go-hiking/hikes/goat-lake,Mountain Loop Highway > Darrington,"10.4 miles, roundtrip","1,300 feet","3,160 feet",3 out of 5 stars,"Goat Lake — February 2, 2025",TrailConditionsTed,Trail has some patchy snow starting around mile 2.5 near the ridgeline. Lower portions are clear and dry. Microspikes helpful but not required if you're careful. Beautiful conditions overall with just a hint of winter lingering.,modest_conditions
Mount Pilchuck,https://www.wta.org/go-hiking/hikes/mount-pilchuck,Mountain Loop Highway > Granite Falls,"5.4 miles, roundtrip","2,200 feet","5,324 feet",4 out of 5 stars,"Mount Pilchuck — February 12, 2024",RainierRoamer,"Nice hike but definitely late season snow conditions. The first mile is totally dry, but after the first switchback set you start hitting snow. We had microspikes and it was fine, but I'd call these 'moderate winter conditions' overall.",modest_conditions
Heliotrope Ridge,https://www.wta.org/go-hiking/hikes/heliotrope-ridge,Mt. Baker Area > Glacier,"6.0 miles, roundtrip","2,000 feet","6,100 feet",1 out of 5 stars,"Heliotrope Ridge — December 14, 2024",WeekendWarriorWendy,Do NOT attempt this hike right now. The upper mountain is buried under 5+ feet of snow. The TH road has a gate closure due to avalanche risk. We had to turn back 200 feet from the TH. Wait for summer conditions.,not_hikeable
Franklin Falls,https://www.wta.org/go-hiking/hikes/franklin-falls,Snoqualmie Region > Snoqualmie Pass,"2.0 miles, roundtrip",400 feet,"2,400 feet",5 out of 5 stars,"Franklin Falls — February 12, 2025",ClearCreekHiker,"Gorgeous hike today with friends. Dry trail from start to finish. No road closures, parking fee station was staffed. We hiked the full route including the off-trail scramble to the viewpoint. No issues at all.",hikeable
Ingalls Lake,https://www.wta.org/go-hiking/hikes/lake-ingalls,Central Cascades > Leavenworth,"9.0 miles, roundtrip","2,700 feet","6,500 feet",3 out of 5 stars,"Ingalls Lake — January 13, 2025",MossyBoots42,The first 3 miles are completely clear and dry. After the switchbacks the trail picks up some snow coverage (maybe a foot in spots). We were glad to have microspikes. Spectacular scenery though — worth it!,modest_conditions
Annette Lake,https://www.wta.org/go-hiking/hikes/annette-lake,Snoqualmie Region > Snoqualmie Pass,"7.5 miles, roundtrip","1,300 feet","3,600 feet",4 out of 5 stars,"Annette Lake — June 5, 2024",FernGullyHiker,Logged trail conditions as of this morning: snow-free from TH to summit. The trail is dry and well-packed. Trekking poles are helpful on the descent but not required. One log across the trail at mile 2 — easily stepped over.,hikeable
Lake Ann,https://www.wta.org/go-hiking/hikes/lake-ann,North Cascades > Mt. Baker Area,"8.0 miles, roundtrip","1,800 feet","4,900 feet",4 out of 5 stars,"Lake Ann — August 8, 2024",RainierRoamer,"Hiked this today with my family including two young kids. Trail was in perfect condition — dry, well-signed, and clear. We saw a black bear near the upper switchbacks but it ran off immediately. No hazards to report.",hikeable
Franklin Falls,https://www.wta.org/go-hiking/hikes/franklin-falls,Snoqualmie Region > Snoqualmie Pass,"2.0 miles, roundtrip",400 feet,"2,400 feet",5 out of 5 stars,"Franklin Falls — October 25, 2025",WildflowerWatcher,Logged trail conditions as of this morning: snow-free from TH to summit. The trail is dry and well-packed. Trekking poles are helpful on the descent but not required. One log across the trail at mile 2 — easily stepped over.,hikeable
Wallace Falls,https://www.wta.org/go-hiking/hikes/wallace-falls,Central Cascades > Index,"5.6 miles, roundtrip","1,300 feet","1,600 feet",3 out of 5 stars,"Wallace Falls — October 17, 2024",SummitSeeker_WA,The road is open all the way to the TH. First two miles are clear. Snow starts around mile 2 and gets deeper toward the summit (18-24 inches by the top). Postholing without microspikes. Conditions manageable with proper gear.,modest_conditions
Lake Ann,https://www.wta.org/go-hiking/hikes/lake-ann,North Cascades > Mt. Baker Area,"8.0 miles, roundtrip","1,800 feet","4,900 feet",5 out of 5 stars,"Lake Ann — March 24, 2025",AlpineAdventurer,"Hiked with my dog off-leash in a few spots — other hikers were friendly and the trail was empty enough to enjoy. Completely snow-free, nice and dry. Would definitely come back next weekend.",hikeable
Ptarmigan Ridge,https://www.wta.org/go-hiking/hikes/ptarmigan-ridge,Mt. Baker Area > Glacier,"8.8 miles, roundtrip","2,200 feet","6,500 feet",5 out of 5 stars,"Ptarmigan Ridge — May 22, 2024",SnowpackSam,"Did this hike on a clear sunny weekday. Trail was dry and in excellent condition, no snow whatsoever. Met a trail crew doing some maintenance near mile 3 — give them a wave! Spectacular scenery all the way.",hikeable
Goat Lake,https://www.wta.org/go-hiking/hikes/goat-lake,Mountain Loop Highway > Darrington,"10.4 miles, roundtrip","1,300 feet","3,160 feet",5 out of 5 stars,"Goat Lake — May 15, 2024",SnoqualmieSusan,"No issues to report! Trail is dry and clear all the way through. Encountered a few runners which is a bit frustrating on a narrow trail but overall a great experience. No snow, no road closures.",hikeable
Ingalls Lake,https://www.wta.org/go-hiking/hikes/lake-ingalls,Central Cascades > Leavenworth,"9.0 miles, roundtrip","2,700 feet","6,500 feet",4 out of 5 stars,"Ingalls Lake — June 16, 2024",PugetSoundTrails,All clear from bottom to top. Saw maybe 20 other hikers which felt manageable. Trailhead has a pit toilet that was clean and stocked. Trail surface is firm and dry. Don't forget sunscreen — it gets hot in the open sections.,hikeable
Maple Pass Loop,https://www.wta.org/go-hiking/hikes/maple-pass-loop,North Cascades > Methow Valley,"7.0 miles, roundtrip","2,000 feet","6,800 feet",4 out of 5 stars,"Maple Pass Loop — September 2, 2025",CascadeWanderer,"Nice hike but definitely late season snow conditions. The first mile is totally dry, but after the first switchback set you start hitting snow. We had microspikes and it was fine, but I'd call these 'moderate winter conditions' overall.",modest_conditions
Lake Ann,https://www.wta.org/go-hiking/hikes/lake-ann,North Cascades > Mt. Baker Area,"8.0 miles, roundtrip","1,800 feet","4,900 feet",2 out of 5 stars,"Lake Ann — August 18, 2025",WildflowerWatcher,"Not hikeable right now. Road is impassable due to a rockslide. Even with clear roads, the trail is completely under snow from bottom to top. We could see from a distance — no exposed trail anywhere. Wait for late summer.",not_hikeable
Lake Ann,https://www.wta.org/go-hiking/hikes/lake-ann,North Cascades > Mt. Baker Area,"8.0 miles, roundtrip","1,800 feet","4,900 feet",1 out of 5 stars,"Lake Ann — March 24, 2024",WildflowerWatcher,Not hikeable in current conditions. The upper trail is an avalanche zone right now — we could see recent avalanche debris on the hillside across the valley. Road is open but please don't attempt this trail.,not_hikeable
Mount Pilchuck,https://www.wta.org/go-hiking/hikes/mount-pilchuck,Mountain Loop Highway > Granite Falls,"5.4 miles, roundtrip","2,200 feet","5,324 feet",4 out of 5 stars,"Mount Pilchuck — February 3, 2025",TrailBlazerPNW,The trail is fully accessible and snow-free. The creek crossing at mile 1.5 is easily fordable with dry boots. Wildflowers in the meadow section were incredible. We'll definitely be back.,hikeable
Lake Ann,https://www.wta.org/go-hiking/hikes/lake-ann,North Cascades > Mt. Baker Area,"8.0 miles, roundtrip","1,800 feet","4,900 feet",5 out of 5 stars,"Lake Ann — December 14, 2025",TrailConditionsTed,"No issues to report! Trail is dry and clear all the way through. Encountered a few runners which is a bit frustrating on a narrow trail but overall a great experience. No snow, no road closures.",hikeable
Maple Pass Loop,https://www.wta.org/go-hiking/hikes/maple-pass-loop,North Cascades > Methow Valley,"7.0 miles, roundtrip","2,000 feet","6,800 feet",4 out of 5 stars,"Maple Pass Loop — January 15, 2026",NorthCascadesNick,"Hiked this today with my family including two young kids. Trail was in perfect condition — dry, well-signed, and clear. We saw a black bear near the upper switchbacks but it ran off immediately. No hazards to report.",hikeable
Ptarmigan Ridge,https://www.wta.org/go-hiking/hikes/ptarmigan-ridge,Mt. Baker Area > Glacier,"8.8 miles, roundtrip","2,200 feet","6,500 feet",4 out of 5 stars,"Ptarmigan Ridge — June 14, 2025",LakesAndPeaks,"The lower trail is completely clear. Snow starts appearing around 4,000 feet elevation. A few icy patches on shaded north-facing slopes but nothing serious. Trekking poles and microspikes recommended for the upper section.",modest_conditions
Mailbox Peak,https://www.wta.org/go-hiking/hikes/mailbox-peak-new-trail,Snoqualmie Region > North Bend Area,"9.4 miles, roundtrip","4,000 feet","4,831 feet",5 out of 5 stars,"Mailbox Peak — June 10, 2024",BackcountryBridget,"I was nervous about conditions given recent weather but the trail was perfect. Completely clear, great traction even without poles. The logging road to the TH has some potholes but is passable in a regular car.",hikeable
Heliotrope Ridge,https://www.wta.org/go-hiking/hikes/heliotrope-ridge,Mt. Baker Area > Glacier,"6.0 miles, roundtrip","2,000 feet","6,100 feet",4 out of 5 stars,"Heliotrope Ridge — April 24, 2024",TrailBlazerPNW,"Hiked with my dog off-leash in a few spots — other hikers were friendly and the trail was empty enough to enjoy. Completely snow-free, nice and dry. Would definitely come back next weekend.",hikeable
Annette Lake,https://www.wta.org/go-hiking/hikes/annette-lake,Snoqualmie Region > Snoqualmie Pass,"7.5 miles, roundtrip","1,300 feet","3,600 feet",3 out of 5 stars,"Annette Lake — August 30, 2024",RainierRoamer,Road is open but the last 0.5 mile to TH was icy this morning. Trail itself alternates between clear and snowy sections. Above the lake everything was under a thin crust. Bring traction devices.,modest_conditions
Annette Lake,https://www.wta.org/go-hiking/hikes/annette-lake,Snoqualmie Region > Snoqualmie Pass,"7.5 miles, roundtrip","1,300 feet","3,600 feet",5 out of 5 stars,"Annette Lake — March 3, 2024",SnoqualmieSusan,Just returned. Trail conditions: excellent. Zero snow. A few muddy sections after last week's rain but nothing requiring special footwear. The wildflowers were absolutely popping near the ridgeline.,hikeable
Lake Ann,https://www.wta.org/go-hiking/hikes/lake-ann,North Cascades > Mt. Baker Area,"8.0 miles, roundtrip","1,800 feet","4,900 feet",5 out of 5 stars,"Lake Ann — December 5, 2025",PNWPeakBagger,"The trail is in the best shape I've seen in years. Completely dry, well-maintained, no blowdowns. Parking area was busy but we found a spot quickly. The views of the Cascades were crystal clear from the top.",hikeable
Heliotrope Ridge,https://www.wta.org/go-hiking/hikes/heliotrope-ridge,Mt. Baker Area > Glacier,"6.0 miles, roundtrip","2,000 feet","6,100 feet",4 out of 5 stars,"Heliotrope Ridge — October 6, 2024",PugetSoundTrails,Decent conditions with some caveats. Bottom third of the trail is snow-free. Middle third has some patches and requires careful footing. Top third is covered but packed down from other hikers. Microspikes helpful.,modest_conditions
Chain Lakes Loop,https://www.wta.org/go-hiking/hikes/chain-lakes-loop,Mt. Baker Area > Glacier,"6.5 miles, roundtrip","1,900 feet","5,400 feet",4 out of 5 stars,"Chain Lakes Loop — November 19, 2025",PugetSoundTrails,"Conditions are 'mostly hikeable' with the right gear. Trail is clear from TH to the creek. After the creek there are intermittent snow patches, becoming continuous above 4,500 feet. Go prepared with traction devices.",modest_conditions
Heliotrope Ridge,https://www.wta.org/go-hiking/hikes/heliotrope-ridge,Mt. Baker Area > Glacier,"6.0 miles, roundtrip","2,000 feet","6,100 feet",5 out of 5 stars,"Heliotrope Ridge — February 14, 2025",FernGullyHiker,Logged trail conditions as of this morning: snow-free from TH to summit. The trail is dry and well-packed. Trekking poles are helpful on the descent but not required. One log across the trail at mile 2 — easily stepped over.,hikeable
Twin Falls,https://www.wta.org/go-hiking/hikes/twin-falls,Snoqualmie Region > North Bend Area,"2.6 miles, roundtrip",500 feet,600 feet,5 out of 5 stars,"Twin Falls — March 22, 2024",ClearCreekHiker,"Hiked this today with my family including two young kids. Trail was in perfect condition — dry, well-signed, and clear. We saw a black bear near the upper switchbacks but it ran off immediately. No hazards to report.",hikeable
Twin Falls,https://www.wta.org/go-hiking/hikes/twin-falls,Snoqualmie Region > North Bend Area,"2.6 miles, roundtrip",500 feet,600 feet,5 out of 5 stars,"Twin Falls — March 8, 2025",WildflowerWatcher,Just got back from a wonderful day out here. Trail is completely clear of snow. Wildflowers are starting to come up near the upper meadows. Bring plenty of water as there are limited reliable sources right now.,hikeable
Ingalls Lake,https://www.wta.org/go-hiking/hikes/lake-ingalls,Central Cascades > Leavenworth,"9.0 miles, roundtrip","2,700 feet","6,500 feet",5 out of 5 stars,"Ingalls Lake — January 22, 2025",CascadeWanderer,"Hiked with my dog off-leash in a few spots — other hikers were friendly and the trail was empty enough to enjoy. Completely snow-free, nice and dry. Would definitely come back next weekend.",hikeable
Mount Pilchuck,https://www.wta.org/go-hiking/hikes/mount-pilchuck,Mountain Loop Highway > Granite Falls,"5.4 miles, roundtrip","2,200 feet","5,324 feet",5 out of 5 stars,"Mount Pilchuck — January 16, 2026",WeekendWarriorWendy,"Hiked this today with my family including two young kids. Trail was in perfect condition — dry, well-signed, and clear. We saw a black bear near the upper switchbacks but it ran off immediately. No hazards to report.",hikeable
Sahale Arm,https://www.wta.org/go-hiking/hikes/sahale-arm,North Cascades > Cascade Pass,"12.0 miles, roundtrip","3,900 feet","7,600 feet",4 out of 5 stars,"Sahale Arm — February 10, 2026",ClearCreekHiker,Trail is passable but not summer conditions. There's 1-2 feet of snow from the upper meadows to the top. Microspikes essential. The lower forest section is completely clear and pleasant. A gorgeous but demanding hike right now.,modest_conditions
Goat Lake,https://www.wta.org/go-hiking/hikes/goat-lake,Mountain Loop Highway > Darrington,"10.4 miles, roundtrip","1,300 feet","3,160 feet",5 out of 5 stars,"Goat Lake — May 22, 2024",PugetSoundTrails,"Hiked this today with my family including two young kids. Trail was in perfect condition — dry, well-signed, and clear. We saw a black bear near the upper switchbacks but it ran off immediately. No hazards to report.",hikeable
Chain Lakes Loop,https://www.wta.org/go-hiking/hikes/chain-lakes-loop,Mt. Baker Area > Glacier,"6.5 miles, roundtrip","1,900 feet","5,400 feet",2 out of 5 stars,"Chain Lakes Loop — March 2, 2026",LakesAndPeaks,Completely impassable. The entire route was under 3-4 feet of snow from mile 0.5 onward. No trail visible. We postholed up to our hips. Strong wind and limited visibility at the upper elevations. Turned back for safety.,not_hikeable
Chain Lakes Loop,https://www.wta.org/go-hiking/hikes/chain-lakes-loop,Mt. Baker Area > Glacier,"6.5 miles, roundtrip","1,900 feet","5,400 feet",5 out of 5 stars,"Chain Lakes Loop — March 11, 2024",HikingWithHuskies,Road to TH is open and in good condition. Trail is snow-free all the way. Some light mud near the stream crossings. We did the full loop and encountered maybe 8-10 other groups. A gem of a hike!,hikeable
Lake Ann,https://www.wta.org/go-hiking/hikes/lake-ann,North Cascades > Mt. Baker Area,"8.0 miles, roundtrip","1,800 feet","4,900 feet",,"Lake Ann — February 25, 2024",MossyBoots42,Total closure. The county has closed the forest service road due to flooding and rockfall. Even if you could get to the TH the trail is completely under snow. Multiple party turned back when we were there.,not_hikeable
Wallace Falls,https://www.wta.org/go-hiking/hikes/wallace-falls,Central Cascades > Index,"5.6 miles, roundtrip","1,300 feet","1,600 feet",3 out of 5 stars,"Wallace Falls — December 28, 2024",CascadeWanderer,Trail is passable but not summer conditions. There's 1-2 feet of snow from the upper meadows to the top. Microspikes essential. The lower forest section is completely clear and pleasant. A gorgeous but demanding hike right now.,modest_conditions
Lake Ann,https://www.wta.org/go-hiking/hikes/lake-ann,North Cascades > Mt. Baker Area,"8.0 miles, roundtrip","1,800 feet","4,900 feet",5 out of 5 stars,"Lake Ann — January 12, 2024",SnoqualmieSusan,"Hiked this today with my family including two young kids. Trail was in perfect condition — dry, well-signed, and clear. We saw a black bear near the upper switchbacks but it ran off immediately. No hazards to report.",hikeable
Lake Ann,https://www.wta.org/go-hiking/hikes/lake-ann,North Cascades > Mt. Baker Area,"8.0 miles, roundtrip","1,800 feet","4,900 feet",3 out of 5 stars,"Lake Ann — September 15, 2024",TrailConditionsTed,Decent conditions with some caveats. Bottom third of the trail is snow-free. Middle third has some patches and requires careful footing. Top third is covered but packed down from other hikers. Microspikes helpful.,modest_conditions
Twin Falls,https://www.wta.org/go-hiking/hikes/twin-falls,Snoqualmie Region > North Bend Area,"2.6 miles, roundtrip",500 feet,600 feet,2 out of 5 stars,"Twin Falls — January 24, 2025",BackcountryBridget,Conditions are dangerous and the trail should not be attempted. The access road has a major washout 1.5 miles from TH. The trail itself is buried under avalanche debris from a slide earlier this week. Please stay safe.,not_hikeable
Wallace Falls,https://www.wta.org/go-hiking/hikes/wallace-falls,Central Cascades > Index,"5.6 miles, roundtrip","1,300 feet","1,600 feet",3 out of 5 stars,"Wallace Falls — March 10, 2026",SummitSeeker_WA,"The lower trail is completely clear. Snow starts appearing around 4,000 feet elevation. A few icy patches on shaded north-facing slopes but nothing serious. Trekking poles and microspikes recommended for the upper section.",modest_conditions
Maple Pass Loop,https://www.wta.org/go-hiking/hikes/maple-pass-loop,North Cascades > Methow Valley,"7.0 miles, roundtrip","2,000 feet","6,800 feet",5 out of 5 stars,"Maple Pass Loop — April 5, 2024",TrailBlazerPNW,"The trail is in the best shape I've seen in years. Completely dry, well-maintained, no blowdowns. Parking area was busy but we found a spot quickly. The views of the Cascades were crystal clear from the top.",hikeable
Mount Pilchuck,https://www.wta.org/go-hiking/hikes/mount-pilchuck,Mountain Loop Highway > Granite Falls,"5.4 miles, roundtrip","2,200 feet","5,324 feet",5 out of 5 stars,"Mount Pilchuck — April 9, 2025",SnowpackSam,"Gorgeous hike today with friends. Dry trail from start to finish. No road closures, parking fee station was staffed. We hiked the full route including the off-trail scramble to the viewpoint. No issues at all.",hikeable
Ptarmigan Ridge,https://www.wta.org/go-hiking/hikes/ptarmigan-ridge,Mt. Baker Area > Glacier,"8.8 miles, roundtrip","2,200 feet","6,500 feet",5 out of 5 stars,"Ptarmigan Ridge — October 30, 2024",FernGullyHiker,"Fantastic hike! Clear skies, no snow or ice on the trail. Trail crews have done a great job maintaining the path. A few muddy patches near the creek crossing but nothing that required any special gear. Views at the top were incredible.",hikeable
Lake Ann,https://www.wta.org/go-hiking/hikes/lake-ann,North Cascades > Mt. Baker Area,"8.0 miles, roundtrip","1,800 feet","4,900 feet",2 out of 5 stars,"Lake Ann — March 15, 2025",CascadeCrest2024,Do NOT attempt this hike right now. The upper mountain is buried under 5+ feet of snow. The TH road has a gate closure due to avalanche risk. We had to turn back 200 feet from the TH. Wait for summer conditions.,not_hikeable
Franklin Falls,https://www.wta.org/go-hiking/hikes/franklin-falls,Snoqualmie Region > Snoqualmie Pass,"2.0 miles, roundtrip",400 feet,"2,400 feet",2 out of 5 stars,"Franklin Falls — October 15, 2025",RainierRoamer,Completely impassable. The entire route was under 3-4 feet of snow from mile 0.5 onward. No trail visible. We postholed up to our hips. Strong wind and limited visibility at the upper elevations. Turned back for safety.,not_hikeable
Ingalls Lake,https://www.wta.org/go-hiking/hikes/lake-ingalls,Central Cascades > Leavenworth,"9.0 miles, roundtrip","2,700 feet","6,500 feet",2 out of 5 stars,"Ingalls Lake — November 8, 2025",TrailConditionsTed,Road closure in effect. The gate is locked 4 miles from the TH due to snow and mudslides. Trail is completely buried — we tried snowshoeing in but turned back when it became too dangerous. Not recommended.,not_hikeable
Ingalls Lake,https://www.wta.org/go-hiking/hikes/lake-ingalls,Central Cascades > Leavenworth,"9.0 miles, roundtrip","2,700 feet","6,500 feet",5 out of 5 stars,"Ingalls Lake — January 1, 2024",BackcountryBridget,Just returned. Trail conditions: excellent. Zero snow. A few muddy sections after last week's rain but nothing requiring special footwear. The wildflowers were absolutely popping near the ridgeline.,hikeable
Sahale Arm,https://www.wta.org/go-hiking/hikes/sahale-arm,North Cascades > Cascade Pass,"12.0 miles, roundtrip","3,900 feet","7,600 feet",2 out of 5 stars,"Sahale Arm — March 29, 2024",PugetSoundTrails,Conditions are dangerous and the trail should not be attempted. The access road has a major washout 1.5 miles from TH. The trail itself is buried under avalanche debris from a slide earlier this week. Please stay safe.,not_hikeable
Ptarmigan Ridge,https://www.wta.org/go-hiking/hikes/ptarmigan-ridge,Mt. Baker Area > Glacier,"8.8 miles, roundtrip","2,200 feet","6,500 feet",5 out of 5 stars,"Ptarmigan Ridge — December 29, 2024",GlacierPeakPatrol,"Did this hike on a clear sunny weekday. Trail was dry and in excellent condition, no snow whatsoever. Met a trail crew doing some maintenance near mile 3 — give them a wave! Spectacular scenery all the way.",hikeable
Sahale Arm,https://www.wta.org/go-hiking/hikes/sahale-arm,North Cascades > Cascade Pass,"12.0 miles, roundtrip","3,900 feet","7,600 feet",5 out of 5 stars,"Sahale Arm — July 28, 2024",SnowpackSam,Just returned. Trail conditions: excellent. Zero snow. A few muddy sections after last week's rain but nothing requiring special footwear. The wildflowers were absolutely popping near the ridgeline.,hikeable
Mailbox Peak,https://www.wta.org/go-hiking/hikes/mailbox-peak-new-trail,Snoqualmie Region > North Bend Area,"9.4 miles, roundtrip","4,000 feet","4,831 feet",4 out of 5 stars,"Mailbox Peak — October 2, 2025",CascadeWanderer,"I was nervous about conditions given recent weather but the trail was perfect. Completely clear, great traction even without poles. The logging road to the TH has some potholes but is passable in a regular car.",hikeable
Wallace Falls,https://www.wta.org/go-hiking/hikes/wallace-falls,Central Cascades > Index,"5.6 miles, roundtrip","1,300 feet","1,600 feet",2 out of 5 stars,"Wallace Falls — May 17, 2025",LakesAndPeaks,Trail is completely snowed out. We turned back at mile 1 — snow was waist-deep with no visible trail. Conditions are impassable without snowshoes and navigation skills. Road to TH is also icy — use caution or stay home.,not_hikeable
Sahale Arm,https://www.wta.org/go-hiking/hikes/sahale-arm,North Cascades > Cascade Pass,"12.0 miles, roundtrip","3,900 feet","7,600 feet",2 out of 5 stars,"Sahale Arm — April 9, 2025",LakesAndPeaks,Total closure. The county has closed the forest service road due to flooding and rockfall. Even if you could get to the TH the trail is completely under snow. Multiple party turned back when we were there.,not_hikeable
Goat Lake,https://www.wta.org/go-hiking/hikes/goat-lake,Mountain Loop Highway > Darrington,"10.4 miles, roundtrip","1,300 feet","3,160 feet",3 out of 5 stars,"Goat Lake — November 6, 2025",TrailBlazerPNW,Some lingering snow on the upper sections. Most of the lower trail is ice-free. There's one tricky icy traverse near the summit block — caution advised without microspikes. Otherwise perfectly enjoyable.,modest_conditions
Goat Lake,https://www.wta.org/go-hiking/hikes/goat-lake,Mountain Loop Highway > Darrington,"10.4 miles, roundtrip","1,300 feet","3,160 feet",5 out of 5 stars,"Goat Lake — March 29, 2025",SummitSeeker_WA,"Hiked this today with my family including two young kids. Trail was in perfect condition — dry, well-signed, and clear. We saw a black bear near the upper switchbacks but it ran off immediately. No hazards to report.",hikeable
Franklin Falls,https://www.wta.org/go-hiking/hikes/franklin-falls,Snoqualmie Region > Snoqualmie Pass,"2.0 miles, roundtrip",400 feet,"2,400 feet",3 out of 5 stars,"Franklin Falls — April 23, 2025",AlpineAdventurer,Trail has some patchy snow starting around mile 2.5 near the ridgeline. Lower portions are clear and dry. Microspikes helpful but not required if you're careful. Beautiful conditions overall with just a hint of winter lingering.,modest_conditions
Twin Falls,https://www.wta.org/go-hiking/hikes/twin-falls,Snoqualmie Region > North Bend Area,"2.6 miles, roundtrip",500 feet,600 feet,3 out of 5 stars,"Twin Falls — May 11, 2025",BackcountryBridget,"Conditions are 'mostly hikeable' with the right gear. Trail is clear from TH to the creek. After the creek there are intermittent snow patches, becoming continuous above 4,500 feet. Go prepared with traction devices.",modest_conditions
Mailbox Peak,https://www.wta.org/go-hiking/hikes/mailbox-peak-new-trail,Snoqualmie Region > North Bend Area,"9.4 miles, roundtrip","4,000 feet","4,831 feet",3 out of 5 stars,"Mailbox Peak — January 26, 2024",TrailConditionsTed,The road is open all the way to the TH. First two miles are clear. Snow starts around mile 2 and gets deeper toward the summit (18-24 inches by the top). Postholing without microspikes. Conditions manageable with proper gear.,modest_conditions
Ingalls Lake,https://www.wta.org/go-hiking/hikes/lake-ingalls,Central Cascades > Leavenworth,"9.0 miles, roundtrip","2,700 feet","6,500 feet",5 out of 5 stars,"Ingalls Lake — October 12, 2024",PugetSoundTrails,"No issues to report! Trail is dry and clear all the way through. Encountered a few runners which is a bit frustrating on a narrow trail but overall a great experience. No snow, no road closures.",hikeable
Franklin Falls,https://www.wta.org/go-hiking/hikes/franklin-falls,Snoqualmie Region > Snoqualmie Pass,"2.0 miles, roundtrip",400 feet,"2,400 feet",5 out of 5 stars,"Franklin Falls — February 16, 2024",SummitSeeker_WA,"The trail is in the best shape I've seen in years. Completely dry, well-maintained, no blowdowns. Parking area was busy but we found a spot quickly. The views of the Cascades were crystal clear from the top.",hikeable
Lake Ann,https://www.wta.org/go-hiking/hikes/lake-ann,North Cascades > Mt. Baker Area,"8.0 miles, roundtrip","1,800 feet","4,900 feet",2 out of 5 stars,"Lake Ann — December 19, 2025",OlympicPenHiker,Trail is completely snowed out. We turned back at mile 1 — snow was waist-deep with no visible trail. Conditions are impassable without snowshoes and navigation skills. Road to TH is also icy — use caution or stay home.,not_hikeable
Mount Pilchuck,https://www.wta.org/go-hiking/hikes/mount-pilchuck,Mountain Loop Highway > Granite Falls,"5.4 miles, roundtrip","2,200 feet","5,324 feet",3 out of 5 stars,"Mount Pilchuck — August 12, 2025",PNWPeakBagger,Some lingering snow on the upper sections. Most of the lower trail is ice-free. There's one tricky icy traverse near the summit block — caution advised without microspikes. Otherwise perfectly enjoyable.,modest_conditions
